,0,1,2,3+,total
A,29.5,60.5,10.0,0.0,200
B,11.0,29.5,32.0,27.5,200
C,15.5,53.5,31.0,0.0,200
D,21.0,50.5,28.0,0.5,200
E,4.0,27.0,35.0,34.0,200
F,8.0,47.0,44.5,0.5,200
G,14.0,42.0,32.5,11.5,200
H,12.0,86.0,2.0,0.0,200
I,40.5,50.5,8.0,1.0,200
J,18.5,65.5,15.5,0.5,200
K,62.0,37.0,0.0,1.0,200
L,9.0,89.5,1.5,0.0,200
M,74.5,25.5,0.0,0.0,200
N,92.5,7.5,0.0,0.0,200
O,18.0,49.5,32.5,0.0,200
P,14.5,42.0,43.0,0.5,200
Q,21.0,49.5,29.0,0.5,200
R,37.0,39.5,22.0,1.5,200
S,11.0,45.0,34.5,9.5,200
T,15.5,79.0,5.5,0.0,200
U,57.0,42.0,1.0,0.0,200
V,89.0,11.0,0.0,0.0,200
W,89.0,10.5,0.5,0.0,200
X,91.0,8.0,1.0,0.0,200
Y,69.0,29.5,1.5,0.0,200
Z,3.0,28.5,65.5,3.0,200
