,0,1,2,3+,total
A,26.5,73.0,0.5,0.0,200
B,7.5,33.0,58.5,1.0,200
C,98.5,1.5,0.0,0.0,200
D,11.5,88.0,0.5,0.0,200
E,94.0,5.5,0.5,0.0,200
F,95.0,5.0,0.0,0.0,200
G,71.5,26.5,1.5,0.5,200
H,98.0,1.5,0.5,0.0,200
I,100.0,0.0,0.0,0.0,200
J,98.5,1.5,0.0,0.0,200
K,100.0,0.0,0.0,0.0,200
L,100.0,0.0,0.0,0.0,200
M,99.5,0.5,0.0,0.0,200
N,100.0,0.0,0.0,0.0,200
O,6.5,92.5,1.0,0.0,200
P,11.5,87.5,1.0,0.0,200
Q,8.5,77.0,14.5,0.0,200
R,26.5,73.5,0.0,0.0,200
S,95.0,4.5,0.5,0.0,200
T,100.0,0.0,0.0,0.0,200
U,100.0,0.0,0.0,0.0,200
V,100.0,0.0,0.0,0.0,200
W,99.0,0.5,0.5,0.0,200
X,100.0,0.0,0.0,0.0,200
Y,99.0,1.0,0.0,0.0,200
Z,100.0,0.0,0.0,0.0,200
