,0,1,2,3+,total
A,26.0,49.0,22.5,2.5,200
B,39.0,45.0,14.5,1.5,200
C,38.5,57.5,4.0,0.0,200
D,24.0,53.5,22.0,0.5,200
E,46.0,45.5,8.5,0.0,200
F,38.5,58.0,3.0,0.5,200
G,48.5,45.5,5.0,1.0,200
H,30.5,26.5,38.0,5.0,200
I,42.5,55.0,2.5,0.0,200
J,28.5,70.5,0.5,0.5,200
K,30.0,65.0,4.5,0.5,200
L,43.5,53.5,3.0,0.0,200
M,6.5,29.5,37.5,26.5,200
N,36.0,40.5,21.5,2.0,200
O,15.5,49.5,34.5,0.5,200
P,44.5,51.5,4.0,0.0,200
Q,41.0,38.5,20.5,0.0,200
R,52.5,39.5,7.0,1.0,200
S,83.5,15.0,1.0,0.5,200
T,40.0,58.0,2.0,0.0,200
U,24.5,37.0,38.5,0.0,200
V,36.0,58.5,5.0,0.5,200
W,12.0,46.5,27.5,14.0,200
X,81.0,19.0,0.0,0.0,200
Y,65.0,32.5,2.5,0.0,200
Z,86.5,11.0,2.5,0.0,200
