Digit,Samples,Accuracy_%,endpoints_mean,blobs_thick_mean,blobs_thin_mean,group1_stems_mean,g2_nb1_tlbl_mean,g2_nb2_tlbr_mean,g2_nb3_trbr_mean,g2_stems_after_tlbl_mean
0,105,86.67,0.5428571428571428,0.9047619047619048,0.9333333333333333,0.10476190476190476,0.01904761904761905,0.0380952380952381,0.01904761904761905,0.0
1,79,34.18,3.1772151898734178,0.0,0.189873417721519,0.0,0.759493670886076,0.05063291139240506,0.02531645569620253,0.7721518987341772
2,70,81.43,3.6285714285714286,0.04285714285714286,0.14285714285714285,0.11428571428571428,0.9428571428571428,0.04285714285714286,0.014285714285714285,0.9714285714285714
3,50,40.0,3.84,0.04,0.14,0.1,0.98,0.0,0.4,0.18
4,47,23.4,4.787234042553192,0.574468085106383,0.851063829787234,1.1914893617021276,0.46808510638297873,0.10638297872340426,0.0851063829787234,0.7446808510638298
5,64,76.56,3.703125,0.046875,0.40625,0.15625,0.859375,0.078125,0.0,1.015625
6,64,65.62,2.078125,0.84375,1.015625,1.078125,0.109375,0.03125,0.015625,0.09375
7,48,29.17,4.208333333333333,0.0625,0.2708333333333333,0.20833333333333334,0.9375,0.0,0.08333333333333333,0.6458333333333334
8,32,78.12,0.5625,1.75,1.71875,0.21875,0.09375,0.0,0.09375,0.03125
9,34,79.41,3.264705882352941,1.1764705882352942,1.2058823529411764,1.411764705882353,0.08823529411764706,0.0,0.058823529411764705,0.0
